Name,Team,Url,Type,ValueinCR,Full Name,Born,Age,National Side,Batting Style,Bowling,Sport,MatchPlayed,InningsBatted,NotOuts,RunsScored,HighestInnScore,100s,50s,4s,6s,BattingAVG,BattingS/R,CatchesTaken,StumpingsMade,Ducks,R/O,InningsBowled,Overs,Maidens,RunsConceded,Wickets,Best,3s,5s,BowlingAVG,EconomyRate,S/R,Mtc,lower
Rinku Singh,KKR,https://sports.ndtv.com/cricket/players/106742-rinku-singh-playerprofile,Batsman ,0.55,Rinku Khanchand Singh,"October 12, 1997 Aligarh, Uttar Pradesh","24 Years, 5 Months, 3 Days",India,Left Handed,Off break,,10.0,8.0,1.0,77.0,30 v SRH,0.0,0.0,6.0,2.0,11.0,101.31,6.0,0.0,0.0,0.0,,,,,,,,,,,,,rinku singh
Ashok Sharma,KKR,https://sports.ndtv.com/cricket/players/115359-ashok-sharma-playerprofile,Bowler ,0.55,Ashok Sharma,"June 17, 2002 ","19 Years, 8 Months, 28 Days",India,Right Handed,Right-arm medium fast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ashok sharma
Chamika Karunaratne,KKR,https://sports.ndtv.com/cricket/players/64316-chamika-karunaratne-playerprofile,All-Rounder ,0.5,Chamika Karunaratne,"May 29, 1996","25 Years, 9 Months, 17 Days",Sri Lanka,,,Cricket,,,,,,,,,,,,,,,,,,,,,,,,,,,,chamika karunaratne
Abhijeet Tomar,KKR,https://sports.ndtv.com/cricket/players/108580-abhijeet-tomar-playerprofile,Batsman ,0.4,Abhijeet Tomar,"March 14, 1995 Jaipur, Rajasthan","27 Years, 0 Months, 2 Days",India,Right Handed,Off break,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abhijeet tomar
Anukul Roy,KKR,https://sports.ndtv.com/cricket/players/108575-anukul-roy-playerprofile,All-Rounder ,0.2,Anukul Sudhakar Roy,"November 30, 1998 Saraikela Kharswan, Jharkhand","23 Years, 3 Months, 15 Days",India,Left Handed,Slow left-arm orthodox,IPL,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,1.0,2.0,0.0,11.0,1.0,1/11 v CSK,0.0,0.0,11.0,5.5,12.0,1.0,anukul roy
Pratham Singh,KKR,https://sports.ndtv.com/cricket/players/107537-pratham-singh-playerprofile,Batsman ,0.2,Pratham Singh,"August 31, 1992 Delhi","29 Years, 6 Months, 15 Days",India,Left Handed,Off break,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pratham singh
Rasikh Dar,KKR,https://sports.ndtv.com/cricket/players/110974-rasikh-salam-playerprofile,Bowler ,0.2,Rasikh Salam Dar,"April 5, 2001 ","20 Years, 11 Months, 10 Days",India,Right Handed,Right-arm medium,IPL,1.0,1.0,1.0,5.0,5* v DC,0.0,0.0,0.0,0.0,,125.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,42.0,0.0,0/42 v DC,0.0,0.0,,10.5,,1.0,rasikh dar
Ramesh Kumar,KKR,https://sports.ndtv.com/cricket/players/115360-ramesh-kumar-playerprofile,Batsman ,0.2,Ramesh Kumar,"January 1, 1999 ","23 Years, 2 Months, 14 Days",India,Left Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ramesh kumar
Aman Khan,KKR,https://sports.ndtv.com/cricket/players/115300-aman-khan-playerprofile,All-Rounder ,0.2,Aman Hakim Khan,"November 23, 1996 ","25 Years, 3 Months, 22 Days",India,Right Handed,Right-arm medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aman khan
Baba Indrajith,KKR,https://sports.ndtv.com/cricket/players/64703-baba-indrajith-playerprofile,Wicket-Keeper ,0.2,Baba Indrajith,"July 8, 1994 Madras (now Chennai)","27 Years, 8 Months, 7 Days",India,Right Handed,Leg break googly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baba indrajith
Rishabh Pant,DC,https://sports.ndtv.com/cricket/players/107048-rishabh-pant-playerprofile,Wicket-Keeper ,16.0,Rishabh Rajendra Pant,"October 4, 1997 Haridwar, Uttarakhand","24 Years, 5 Months, 11 Days",India,Left Handed,,,84.0,84.0,13.0,2498.0,128* v SRH,1.0,15.0,225.0,113.0,35.18,147.46,56.0,14.0,4.0,6.0,,,,,,,,,,,,,rishabh pant
Shardul Thakur,DC,https://sports.ndtv.com/cricket/players/63779-shardul-narendra-thakur-playerprofile,Bowler ,10.75,Shardul Narendra Thakur,"October 16, 1991 Palghar, Maharashtra","30 Years, 5 Months, 0 Days",India,Right Handed,Right-arm medium fast,IPL,61.0,14.0,6.0,53.0,15* v SRH,0.0,0.0,5.0,1.0,6.62,112.76,17.0,0.0,5.0,2.0,60.0,210.0,2.0,1867.0,67.0,3/19 v PBKS,5.0,0.0,27.86,8.89,18.8,60.0,shardul thakur
Axar Patel,DC,https://sports.ndtv.com/cricket/players/63024-akshar-rajeshbhai-patel-playerprofile,All-Rounder ,9.0,Axar Rajeshbhai Patel,"January 20, 1994 Anand, Gujarat","28 Years, 1 Months, 23 Days",India,Left Handed,Slow left-arm orthodox,IPL,109.0,78.0,23.0,953.0,44 v DC,0.0,0.0,55.0,44.0,17.32,125.23,44.0,0.0,7.0,6.0,108.0,382.3,2.0,2762.0,95.0,4/21 v GL,3.0,0.0,29.07,7.22,24.15,108.0,axar patel
Prithvi Shaw,DC,https://sports.ndtv.com/cricket/players/107533-prithvi-shaw-playerprofile,Batsman ,7.5,Prithvi Pankaj Shaw,"November 9, 1999 Thane, Maharashtra","22 Years, 4 Months, 7 Days",India,Right Handed,Off break,,53.0,53.0,0.0,1305.0,99 v KKR,0.0,10.0,155.0,45.0,24.62,146.3,11.0,0.0,4.0,3.0,,,,,,,,,,,,,prithvi shaw
Mitchell Marsh,DC,https://sports.ndtv.com/cricket/players/1425-mitchell-marsh-playerprofile,All-Rounder ,6.5,Mitchell Ross Marsh,"October 20, 1991 Attadale, Perth","30 Years, 4 Months, 27 Days",Australia,Right Handed,Right-arm medium,IPL,21.0,15.0,2.0,225.0,38 v MI,0.0,0.0,9.0,14.0,17.3,114.21,7.0,0.0,1.0,1.0,19.0,53.1,0.0,420.0,20.0,4/25 v DCH,0.0,0.0,21.0,7.89,15.95,19.0,mitchell marsh
Anrich Nortje,DC,https://sports.ndtv.com/cricket/players/64072-anrich-nortje-playerprofile,Bowler ,6.5,Anrich Arno Nortje,"November 16, 1993 ","28 Years, 4 Months, -1 Days",South Africa,Right Handed,Right-arm fast,IPL,24.0,5.0,4.0,7.0,3* v PBKS,0.0,0.0,0.0,0.0,7.0,116.66,5.0,0.0,2.0,0.0,24.0,91.2,1.0,699.0,34.0,3/33 v KKR,2.0,0.0,20.55,7.65,16.11,24.0,anrich nortje
David Warner,DC,https://sports.ndtv.com/cricket/players/1285-david-warner-playerprofile,Batsman ,6.25,David Andrew Warner,"October 27, 1986 Paddington, New South Wales","35 Years, 4 Months, 19 Days",Australia,Left Handed,Leg break,IPL,150.0,150.0,19.0,5449.0,126 v KKR,4.0,50.0,525.0,201.0,41.59,139.96,68.0,0.0,8.0,9.0,1.0,0.1,0.0,2.0,0.0,0/2 v DC,0.0,0.0,,12.0,,1.0,david warner
Khaleel Ahmed,DC,https://sports.ndtv.com/cricket/players/107233-khaleel-ahmed-playerprofile,Bowler ,5.25,Khaleel Khursheed Ahmed,"December 5, 1997 Tonk, Rajasthan","24 Years, 3 Months, 10 Days",India,Right Handed,Left-arm medium,IPL,24.0,3.0,0.0,1.0,1 v MI,0.0,0.0,0.0,0.0,0.33,20.0,1.0,0.0,2.0,1.0,24.0,90.3,0.0,786.0,32.0,3/21 v PBKS,6.0,0.0,24.56,8.68,16.96,24.0,khaleel ahmed
Chetan Sakariya,DC,https://sports.ndtv.com/cricket/players/110598-chetan-sakariya-playerprofile,Bowler ,4.2,Chetan Sakariya,"February 28, 1998 Bhavnagar","24 Years, 0 Months, 15 Days",India,Left Handed,Left-arm medium fast,IPL,14.0,6.0,1.0,16.0,7 v PBKS,0.0,0.0,2.0,0.0,3.2,64.0,4.0,0.0,2.0,1.0,14.0,52.0,1.0,426.0,14.0,3/31 v PBKS,2.0,0.0,30.42,8.19,22.28,14.0,chetan sakariya
Rovman Powell,DC,https://sports.ndtv.com/cricket/players/107485-rovman-powell-playerprofile,Batsman ,2.8,Rovman Powell,"July 23, 1993 ","28 Years, 7 Months, 23 Days",West Indies,Right Handed,Right-arm medium fast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rovman powell
Kuldeep Yadav,DC,https://sports.ndtv.com/cricket/players/63624-kuldeep-yadav-playerprofile,Bowler ,2.0,Kuldeep Yadav,"December 14, 1994 Kanpur, Uttar Pradesh","27 Years, 3 Months, 1 Days",India,Left Handed,Slow left-arm chinaman,IPL,45.0,11.0,5.0,57.0,16 v MI,0.0,0.0,5.0,0.0,9.5,76.0,11.0,0.0,3.0,3.0,43.0,149.2,0.0,1236.0,40.0,4/20 v RR,2.0,0.0,30.9,8.27,22.4,43.0,kuldeep yadav
Srikar Bharat,DC,https://sports.ndtv.com/cricket/players/60643-kona-srikar-bharat-playerprofile,Wicket-Keeper ,2.0,Kona Srikar Bharat,"October 3, 1993 Visakhapatnam, Andhra Pradesh","28 Years, 5 Months, 12 Days",India,Right Handed,,,8.0,7.0,2.0,191.0,78* v DC,0.0,1.0,10.0,8.0,38.2,122.43,4.0,1.0,1.0,0.0,,,,,,,,,,,,,srikar bharat
Mustafizur Rahman,DC,https://sports.ndtv.com/cricket/players/64306-mustafizur-rahman-playerprofile,Bowler ,2.0,Mustafizur Rahman,"September 6, 1995 Satkhira","26 Years, 6 Months, 10 Days",Bangladesh,Left Handed,Left-arm fast medium,IPL,38.0,7.0,6.0,9.0,8* v MI,0.0,0.0,0.0,1.0,9.0,52.94,5.0,0.0,5.0,0.0,38.0,143.0,1.0,1121.0,38.0,3/16 v MI,3.0,0.0,29.5,7.83,22.57,38.0,mustafizur rahman
Kamlesh Nagarkoti,DC,https://sports.ndtv.com/cricket/players/108584-kamlesh-nagarkoti-playerprofile,All-Rounder ,1.1,Kamlesh Lachham Nagarkoti,"December 28, 1999 Barmer, Rajasthan","22 Years, 2 Months, 19 Days",India,Right Handed,Right-arm fast,IPL,11.0,7.0,3.0,22.0,8* v RR,0.0,0.0,1.0,0.0,5.5,66.66,4.0,0.0,2.0,0.0,10.0,28.0,0.0,256.0,5.0,2/13 v RR,0.0,0.0,51.2,9.14,33.6,10.0,kamlesh nagarkoti
Mandeep Singh,DC,https://sports.ndtv.com/cricket/players/1429-mandeep-singh-playerprofile,Batsman ,1.1,Mandeep Singh,"December 18, 1991 Jalandhar, Punjab","30 Years, 2 Months, 29 Days",India,Right Handed,Right-arm medium,IPL,105.0,92.0,16.0,1674.0,77* v PWI,0.0,6.0,172.0,37.0,22.02,124.09,37.0,0.0,12.0,3.0,2.0,2.0,0.0,26.0,0.0,0/8 v RR,0.0,0.0,,13.0,,2.0,mandeep singh
Lalit Yadav,DC,https://sports.ndtv.com/cricket/players/108549-lalit-yadav-playerprofile,All-Rounder ,0.65,Lalit Yadav,"January 3, 1997 Delhi","25 Years, 2 Months, 12 Days",India,Right Handed,Off break,IPL,7.0,5.0,3.0,68.0,22* v MI,0.0,0.0,7.0,0.0,34.0,93.15,5.0,0.0,1.0,0.0,5.0,14.0,0.0,101.0,4.0,2/13 v KKR,0.0,0.0,25.25,7.21,21.0,5.0,lalit yadav
Yash Dhull,DC,https://sports.ndtv.com/cricket/players/114978-yash-dhull-playerprofile,All-Rounder ,0.5,Yash Vijay Dhull,"November 11, 2002 ","19 Years, 4 Months, 4 Days",India,Right Handed,Off break,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yash dhull
Lungi Ngidi,DC,https://sports.ndtv.com/cricket/players/64640-lungisani-ngidi-playerprofile,Bowler ,0.5,Lungisani True-man Ngidi,"March 29, 1996 Durban, Natal","25 Years, 11 Months, 17 Days",South Africa,Right Handed,Right-arm fast medium,IPL,14.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,14.0,54.0,2.0,448.0,25.0,4/10 v PBKS,3.0,0.0,17.92,8.29,12.96,14.0,lungi ngidi
Tim Seifert,DC,https://sports.ndtv.com/cricket/players/64292-tim-l-seifert-playerprofile,Wicket-Keeper ,0.5,Tim Louis Seifert,"December 14, 1994 Wanganui","27 Years, 3 Months, 1 Days",New Zealand,Right Handed,,,1.0,1.0,0.0,2.0,2 v PBKS,0.0,0.0,0.0,0.0,2.0,50.0,,,0.0,1.0,,,,,,,,,,,,,tim seifert
Pravin Dubey,DC,https://sports.ndtv.com/cricket/players/63981-praveen-dubey-playerprofile,All-Rounder ,0.5,Pravin Dubey,"July 1, 1993 Azamgarh, Uttar Pradesh","28 Years, 8 Months, 14 Days",India,Right Handed,Leg break googly,IPL,3.0,1.0,1.0,7.0,7* v MI,0.0,0.0,0.0,0.0,,53.84,1.0,0.0,0.0,0.0,3.0,8.0,0.0,72.0,0.0,0/14 v SRH,0.0,0.0,,9.0,,3.0,pravin dubey
Ashwin Hebbar,DC,https://sports.ndtv.com/cricket/players/110570-ashwin-hebbar-playerprofile,Batsman ,0.2,Kattingeri Ashwin Hebbar,"November 15, 1995 Nellore, Andhra Pradesh","26 Years, 4 Months, 1 Days",India,Right Handed,Right-arm medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ashwin hebbar
Ripal Patel,DC,https://sports.ndtv.com/cricket/players/113434-ripal-patel-playerprofile,All-Rounder ,0.2,Ripal Vinubhai Patel,"September 28, 1995 Nadiad","26 Years, 5 Months, 18 Days",India,Right Handed,Right-arm medium fast,IPL,2.0,2.0,1.0,25.0,18 v CSK,0.0,0.0,3.0,0.0,25.0,92.59,,,0.0,0.0,1.0,3.0,0.0,22.0,0.0,0/22 v RCB,0.0,0.0,,7.33,,1.0,ripal patel
Vicky Ostwal,DC,https://sports.ndtv.com/cricket/players/114987-vicky-ostwal-playerprofile,All-Rounder ,0.2,Vicky Kanhaiya Ostwal,"September 1, 2002 ","19 Years, 6 Months, 14 Days",India,Right Handed,Slow left-arm orthodox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vicky ostwal
Sarfaraz Khan,DC,https://sports.ndtv.com/cricket/players/64385-sarfaraz-naushad-khan-playerprofile,All-Rounder ,0.2,Sarfaraz Naushad Khan,"October 22, 1997 Mumbai","24 Years, 4 Months, 24 Days",India,Right Handed,Leg break,IPL,40.0,28.0,9.0,441.0,67 v CSK,0.0,1.0,50.0,11.0,23.21,138.24,6.0,0.0,4.0,1.0,1.0,0.2,0.0,6.0,0.0,0/6 v RCB,0.0,0.0,,18.0,,1.0,sarfaraz khan
KL Rahul,LSG,https://sports.ndtv.com/cricket/players/1688-lokesh-rahul-playerprofile,Wicket-keeper ,17.0,Kannaur Lokesh Rahul,"April 18, 1992 Bangalore, Karnataka","29 Years, 10 Months, 27 Days",India,Right Handed,,,94.0,85.0,16.0,3273.0,132* v RCB,2.0,27.0,282.0,134.0,47.43,136.37,50.0,5.0,2.0,2.0,,,,,,,,,,,,,kl rahul
Avesh Khan,LSG,https://sports.ndtv.com/cricket/players/64916-avesh-khan-playerprofile,Bowler ,10.0,Avesh Khan,"December 13, 1996 Indore, Madhya Pradesh","25 Years, 3 Months, 2 Days",India,Right Handed,Right-arm medium fast,IPL,25.0,2.0,1.0,9.0,5 v KKR,0.0,0.0,2.0,0.0,9.0,150.0,5.0,0.0,0.0,1.0,25.0,91.0,0.0,749.0,29.0,3/13 v KKR,4.0,0.0,25.82,8.23,18.82,25.0,avesh khan
Marcus Stoinis,LSG,https://sports.ndtv.com/cricket/players/42327-marcus-peter-stoinis-playerprofile,All-Rounder ,9.2,Marcus Peter Stoinis,"August 16, 1989 Perth","32 Years, 7 Months, -1 Days",Australia,Right Handed,Right-arm medium,IPL,56.0,49.0,16.0,914.0,65 v MI,0.0,4.0,76.0,35.0,27.69,135.81,12.0,0.0,5.0,2.0,45.0,102.0,0.0,969.0,30.0,4/15 v MI,2.0,0.0,32.3,9.5,20.4,45.0,marcus stoinis
Jason Holder,LSG,https://sports.ndtv.com/cricket/players/1446-jason-holder-playerprofile,All-Rounder ,8.75,Jason Omar Holder,"November 5, 1991 Barbados","30 Years, 4 Months, 11 Days",West Indies,Right Handed,Right-arm medium fast,IPL,26.0,16.0,3.0,189.0,47* v PBKS,0.0,0.0,11.0,11.0,14.53,121.15,7.0,0.0,1.0,2.0,26.0,95.5,0.0,786.0,35.0,4/52 v MI,5.0,0.0,22.45,8.2,16.42,26.0,jason holder
Krunal Pandya,LSG,https://sports.ndtv.com/cricket/players/64213-krunal-himashu-pandya-playerprofile,All-Rounder ,8.25,Krunal Himashu Pandya,"March 24, 1991 Ahmedabad, Gujarat","30 Years, 11 Months, 23 Days",India,Left Handed,Slow left-arm orthodox,IPL,84.0,72.0,22.0,1143.0,86 v DC,0.0,1.0,105.0,46.0,22.86,138.54,28.0,0.0,6.0,4.0,81.0,240.4,0.0,1773.0,51.0,3/14 v GL,4.0,0.0,34.76,7.36,28.31,81.0,krunal pandya
Mark Wood,LSG,https://sports.ndtv.com/cricket/players/51060-mark-andrew-wood-playerprofile,Bowler ,7.5,Mark Andrew Wood,"January 11, 1990 Ashington, Northumberland","32 Years, 2 Months, 4 Days",England,Right Handed,Right-arm fast,IPL,1.0,1.0,0.0,1.0,1 v MI,0.0,0.0,0.0,0.0,1.0,33.33,1.0,0.0,0.0,0.0,1.0,4.0,0.0,49.0,0.0,0/49 v MI,0.0,0.0,,12.25,,1.0,mark wood
Quinton de Kock,LSG,https://sports.ndtv.com/cricket/players/1577-quinton-de-kock-playerprofile,Wicket-Keeper ,6.75,Quinton de Kock,"December 17, 1992 Johannesburg, Gauteng","29 Years, 2 Months, 29 Days",South Africa,Left Handed,,,77.0,77.0,5.0,2256.0,108 v RCB,1.0,16.0,230.0,83.0,31.33,130.93,53.0,14.0,3.0,3.0,,,,,,,,,,,,,quinton de kock
Deepak Hooda,LSG,https://sports.ndtv.com/cricket/players/64174-deepak-jagbir-hooda-playerprofile,All-Rounder ,5.75,Deepak Jagbir Hooda,"April 19, 1995 Rohtak","26 Years, 10 Months, 27 Days",India,Right Handed,Off break,IPL,80.0,61.0,14.0,785.0,64 v RR,0.0,3.0,41.0,38.0,16.7,129.53,32.0,0.0,3.0,7.0,28.0,54.1,0.0,458.0,9.0,2/16 v KKR,0.0,0.0,50.88,8.45,36.11,28.0,deepak hooda
Manish Pandey,LSG,https://sports.ndtv.com/cricket/players/1045-manish-pandey-playerprofile,Batsman ,4.6,Manish Krishnanand Pandey,"September 10, 1989 Nainital, Uttaranchal","32 Years, 6 Months, 5 Days",India,Right Handed,Right-arm medium,,154.0,143.0,27.0,3560.0,114* v DCH,1.0,21.0,309.0,103.0,30.68,121.83,75.0,0.0,13.0,6.0,,,,,,,,,,,,,manish pandey
Ravi Bishnoi,LSG,https://sports.ndtv.com/cricket/players/112652-ravi-bishnoi-playerprofile,Bowler ,4.0,Ravi Bishnoi,"September 5, 2000 Jodhpur, Rajasthan","21 Years, 6 Months, 10 Days",India,Right Handed,Leg break googly,IPL,23.0,4.0,2.0,8.0,6* v SRH,0.0,0.0,1.0,0.0,4.0,50.0,4.0,0.0,1.0,0.0,23.0,87.0,1.0,606.0,24.0,3/24 v SRH,3.0,0.0,25.25,6.96,21.75,23.0,ravi bishnoi
Evin Lewis,LSG,https://sports.ndtv.com/cricket/players/1682-evin-lewis-playerprofile,Batsman ,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,evin lewis
Dushmantha Chameera,LSG,https://sports.ndtv.com/cricket/players/51217-pathira-vasan-dushmantha-chameera-playerprofile,Bowler ,2.0,Pathira Vasan Dushmantha Chameera,"January 11, 1992 Ragama","30 Years, 2 Months, 5 Days",Sri Lanka,Right Handed,Right-arm fast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dushmantha chameera
Krishnappa Gowtham,LSG,https://sports.ndtv.com/cricket/players/61268-krishnappa-gowtham-playerprofile,All-Rounder ,0.9,Krishnappa Gowtham,"October 20, 1988 Bangalore, Karnataka","33 Years, 4 Months, 26 Days",India,Right Handed,Off break,IPL,24.0,19.0,6.0,186.0,33* v MI,0.0,0.0,13.0,12.0,14.3,169.09,10.0,0.0,2.0,1.0,24.0,68.0,0.0,562.0,13.0,2/12 v PBKS,0.0,0.0,43.23,8.26,31.38,24.0,krishnappa gowtham
